,LMP
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,20.419098
551,19.983547
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,10.129204
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,22.492854
618,23.128644
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,70.419098
694,18.072542
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,16.970947
727,20.846138
728,19.430296
729,18.861019
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,18.861019
738,18.861019
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,500.0
762,500.0
763,500.0
764,500.0
765,500.0
766,500.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,19.034775
786,20.419098
787,22.492854
788,22.732362
789,22.732362
790,22.576747
791,74.617414
792,74.617414
793,23.206766
794,23.206766
795,23.128644
796,23.206766
797,75.9087
798,500.0
799,500.0
800,124.617414
801,72.96816
802,19.430296
803,18.072542
804,18.072542
805,19.430296
806,18.861019
807,18.861019
808,0.0
809,22.732362
810,23.128644
811,23.437807
812,23.437807
813,23.437807
814,22.732362
815,22.732362
816,21.647258
817,20.846138
818,20.400003
819,19.983547
820,20.419098
821,22.576747
822,23.437807
823,76.429316
824,21.647258
825,18.861019
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,24.617414
834,76.790897
835,77.755129
836,81.7559
837,86.054828
838,76.790897
839,74.617414
840,86.124055
841,76.324557
842,74.617414
843,74.617414
844,73.128644
845,73.657594
846,75.9087
847,500.0
848,20.846138
849,18.573789
850,0.0
851,18.463561
852,18.861019
853,19.034775
854,19.034775
855,20.400003
856,18.573789
857,23.206766
858,26.076488
859,24.62179
860,26.414871
861,23.657594
862,23.206766
863,22.492854
864,21.647258
865,21.288154
866,20.846138
867,19.983547
868,19.034775
869,19.983547
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,4.947433
885,23.128644
886,21.647258
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,73.437807
909,77.274563
910,76.755559
911,73.437807
912,73.437807
913,23.069973
914,23.069973
915,22.576747
916,22.576747
917,23.069973
918,73.657594
919,76.404825
920,71.647258
921,19.983547
922,18.573789
923,0.0
924,0.0
925,0.0
926,0.0
927,16.970947
928,0.0
929,22.96816
930,23.437807
931,24.617414
932,23.437807
933,23.437807
934,23.069973
935,22.732362
936,23.206766
937,22.732362
938,23.437807
939,23.069973
940,22.96816
941,23.069973
942,23.206766
943,22.732362
944,19.68943
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,20.419098
954,21.647258
955,22.732362
956,22.96816
957,23.069973
958,23.241021
959,22.516066
960,22.516066
961,20.846138
962,20.419098
963,19.68943
964,19.983547
965,21.288154
966,23.128644
967,76.755559
968,73.069973
969,19.430296
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,19.430296
976,71.647258
977,500.0
978,500.0
979,500.0
980,500.0
981,500.0
982,248.389982
983,85.816018
984,76.599184
985,74.617414
986,74.617414
987,74.617414
988,73.657594
989,76.324557
990,500.0
991,156.857535
992,21.287879
993,19.983547
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,19.034775
1000,0.0
1001,23.128644
1002,24.617414
1003,24.617414
1004,23.069973
1005,23.069973
1006,21.116714
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,20.846138
1026,22.732362
1027,23.206766
1028,23.069973
1029,23.128644
1030,22.732362
1031,19.68943
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,19.983547
1038,22.576747
1039,74.617414
1040,20.400003
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,16.970947
1089,0.0
1090,0.0
1091,0.0
1092,19.034775
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,20.419098
1107,22.492854
1108,22.576747
1109,22.516066
1110,76.429316
1111,72.96816
1112,71.843654
1113,14.191367
1114,19.034775
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,16.970947
1121,22.516066
1122,23.128644
1123,0.0
1124,22.516066
1125,22.576747
1126,0.0
1127,22.492854
1128,23.206766
1129,23.128644
1130,23.069973
1131,22.96816
1132,22.96816
1133,23.069973
1134,76.755559
1135,500.0
1136,19.983547
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,16.970947
1144,20.400003
1145,158.035526
1146,500.0
1147,500.0
1148,158.752662
1149,500.0
1150,134.615249
1151,86.124055
1152,500.0
1153,500.0
1154,73.128644
1155,73.069973
1156,19.68943
1157,18.861019
1158,21.647258
1159,19.983547
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,18.861019
1170,21.287879
1171,73.128644
1172,72.492854
1173,71.647258
1174,70.419098
1175,19.68943
1176,19.034775
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,19.68943
1195,21.116714
1196,72.492854
1197,73.657594
1198,72.492854
1199,20.419098
1200,19.430296
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,18.072542
1240,0.0
1241,21.843654
1242,23.437807
1243,23.437807
1244,23.206766
1245,23.069973
1246,23.069973
1247,22.576747
1248,23.437807
1249,23.206766
1250,23.069973
1251,23.069973
1252,23.069973
1253,23.437807
1254,74.617414
1255,73.437807
1256,20.846138
1257,18.861019
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,16.970947
1264,19.034775
1265,23.206766
1266,76.429316
1267,75.9087
1268,76.599184
1269,26.016455
1270,23.73174
1271,22.492854
1272,37.947269
1273,25.460173
1274,21.647258
1275,20.846138
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,16.970947
1290,18.861019
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,21.116411
1329,20.846138
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,500.0
1348,500.0
1349,83.035526
1350,83.035526
1351,86.124055
1352,21.843654
1353,19.983547
1354,19.034775
1355,18.072542
1356,0.0
1357,15.731586
1358,18.861019
1359,18.861019
1360,18.861019
1361,22.732362
1362,23.206766
1363,21.647258
1364,21.843654
1365,21.647258
1366,21.647258
1367,21.843654
1368,22.516066
1369,21.647258
1370,21.287879
1371,21.116411
1372,21.647258
1373,75.9087
1374,500.0
1375,500.0
1376,71.116714
1377,19.430296
1378,70.419098
1379,69.983547
1380,19.68943
1381,18.463561
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,22.492854
1398,23.437807
1399,23.206766
1400,21.647258
1401,20.419098
1402,20.846138
1403,20.419098
1404,20.419098
1405,20.419098
1406,21.287879
1407,21.288154
1408,21.843654
1409,23.069973
1410,24.617414
1411,76.755559
1412,76.324557
1413,76.429316
1414,76.755559
1415,74.617414
1416,76.324557
1417,73.437807
1418,75.9087
1419,75.9087
1420,158.946708
1421,500.0
1422,500.0
1423,83.946708
1424,20.400003
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,21.287879
1434,23.437807
1435,23.069973
1436,20.400003
1437,19.68943
1438,19.034775
1439,19.430296
1440,23.069973
1441,22.516066
1442,22.516066
1443,21.116411
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,21.116714
1497,21.116714
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,18.573789
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,19.983547
1514,0.0
1515,21.647258
1516,76.755559
1517,133.035526
1518,77.274616
1519,76.755559
1520,19.983547
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,21.287879
1530,23.069973
1531,20.846138
1532,20.419098
1533,19.68943
1534,20.846138
1535,20.846138
1536,20.846138
1537,20.400003
1538,20.419098
1539,20.400003
1540,20.419098
1541,74.617414
1542,500.0
1543,500.0
1544,19.034775
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,22.576747
1566,24.617414
1567,23.657594
1568,20.846138
1569,19.68943
1570,19.68943
1571,19.430296
1572,19.430296
1573,19.034775
1574,20.419098
1575,20.419098
1576,22.516066
1577,23.069973
1578,26.324557
1579,76.790897
1580,26.429316
1581,76.755559
1582,76.755559
1583,25.9087
1584,76.429316
1585,77.050889
1586,76.324557
1587,83.946708
1588,83.946708
1589,500.0
1590,500.0
1591,500.0
1592,72.516066
1593,18.861019
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,20.419098
1602,23.206766
1603,23.069973
1604,19.983547
1605,18.072542
1606,0.0
1607,19.430296
1608,71.116714
1609,71.843654
1610,71.647258
1611,70.419098
1612,19.983547
1613,73.069973
1614,72.96816
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,19.68943
1627,19.034775
1628,19.430296
1629,15.731586
1630,18.861019
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,18.861019
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,21.116714
1675,76.790897
1676,23.128644
1677,73.657594
1678,0.0
1679,16.970947
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,21.807734
1723,76.293642
1724,23.063632
1725,73.069973
1726,71.843654
1727,71.843654
1728,73.437807
1729,124.617414
1730,77.050889
1731,21.843654
1732,22.492854
1733,22.96816
1734,75.9087
1735,21.647258
1736,18.573789
1737,0.0
1738,0.0
1739,19.68943
1740,19.983547
1741,19.430296
1742,19.034775
1743,19.68943
1744,21.288154
1745,22.732362
1746,24.617414
1747,76.429316
1748,24.617414
1749,24.617414
1750,24.617414
1751,22.96816
1752,23.128644
1753,23.206766
1754,23.128644
1755,23.128644
1756,23.128644
1757,23.206766
1758,23.128644
1759,22.732362
1760,21.287879
1761,19.983547
1762,21.116714
1763,19.430296
1764,19.983547
1765,19.68943
1766,19.68943
1767,21.116714
1768,21.647258
1769,21.647258
1770,23.069973
1771,23.128644
1772,23.128644
1773,23.437807
1774,23.437807
1775,22.492854
1776,21.647258
1777,21.647258
1778,21.647258
1779,22.492854
1780,23.069973
1781,73.437807
1782,500.0
1783,74.617414
1784,19.983547
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,14.191367
1791,19.983547
1792,19.68943
1793,19.034775
1794,21.288154
1795,21.647258
1796,21.647258
1797,21.287879
1798,18.861019
1799,0.0
1800,15.731586
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,18.861019
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,19.983547
1818,26.324557
1819,26.429316
1820,26.324557
1821,76.429316
1822,21.843654
1823,19.430296
1824,19.68943
1825,18.861019
1826,16.970947
1827,18.573789
1828,19.68943
1829,21.116411
1830,71.288154
1831,19.034775
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,18.072542
1841,0.0
1842,20.419098
1843,19.68943
1844,18.861019
1845,0.0
1846,21.288154
1847,22.576747
1848,22.576747
1849,73.069973
1850,18.861019
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,19.034775
1870,20.419098
1871,22.732362
1872,161.124055
1873,500.0
1874,500.0
1875,74.617414
1876,73.069973
1877,73.657594
1878,500.0
1879,158.035526
1880,71.287879
1881,16.970947
1882,18.072542
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,18.861019
1891,27.370585
1892,21.333968
1893,18.573789
1894,19.983547
1895,19.430296
1896,19.034775
1897,21.647258
1898,21.843654
1899,22.492854
1900,22.732362
1901,23.437807
1902,22.732362
1903,21.287879
1904,19.68943
1905,20.419098
1906,19.034775
1907,16.970947
1908,16.970947
1909,18.573789
1910,19.034775
1911,20.419098
1912,19.983547
1913,19.983547
1914,22.732362
1915,23.128644
1916,22.732362
1917,23.128644
1918,23.206766
1919,23.069973
1920,22.96816
1921,73.206766
1922,21.843654
1923,21.843654
1924,20.419098
1925,18.463561
1926,18.072542
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,16.970947
1938,23.128644
1939,24.617414
1940,23.657594
1941,23.128644
1942,22.96816
1943,21.647258
1944,22.732362
1945,22.732362
1946,21.843654
1947,21.287879
1948,21.116411
1949,21.287879
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,18.463561
1959,19.983547
1960,19.68943
1961,20.400003
1962,24.617414
1963,76.324557
1964,75.9087
1965,75.9087
1966,23.437807
1967,23.069973
1968,22.732362
1969,22.576747
1970,22.516066
1971,22.576747
1972,22.576747
1973,73.128644
1974,136.124055
1975,72.732362
1976,19.034775
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,16.970947
1985,19.68943
1986,22.732362
1987,25.078199
1988,23.069973
1989,21.647258
1990,23.241021
1991,21.116411
1992,20.419098
1993,21.116714
1994,20.846138
1995,21.287879
1996,22.492854
1997,23.069973
1998,210.421357
1999,72.516066
2000,19.68943
2001,16.970947
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,18.861019
2010,23.069973
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,15.731586
2017,0.0
2018,0.0
2019,0.0
2020,18.072542
2021,20.419098
2022,73.437807
2023,124.617414
2024,19.68943
2025,0.0
2026,0.0
2027,0.0
